index,feature
0,cov_EN
1,cov_EZ
2,cov_NZ
3,lambda_1
4,lambda_2
5,lambda_3
6,lambda_ratio
7,EV_E
8,EV_N
9,EV_Z
10,E_Emax_t
11,E_argmax_t
12,E_centroid_t
13,E_BW_t
14,E_skewnessBW_t
15,E_kurtosisBW_t
16,E_maxturnpoints_t
17,E_minturnpoints_t
18,E_Etot_t
19,E_Erms_t
20,E_TCR_t
21,E_RMM_t
22,E_mean_t
23,E_std_t
24,E_skew_t
25,E_kurt_t
26,E_IncDec_t
27,E_growth_t
28,E_mTCR_t
29,E_Shannon_t
30,E_Renyi_t
31,E_ZCR_t
32,E_max_f
33,E_argmax_f
34,E_centroid_f
35,E_BW_f
36,E_skewnessBW_f
37,E_kurtosisBW_f
38,E_maxturnpoints_f
39,E_minturnpoints_f
40,E_mean_f
41,E_std_f
42,E_skew_f
43,E_kurt_f
44,E_Shannon_f
45,E_Renyi_f
46,E_RMM_f
47,E_TCR_f
48,E_mTCR_f
49,E_Etot_f
50,E_Erms_f
54,E_MFCC[0]
55,E_MFCC[1]
56,E_MFCC[2]
57,E_MFCC[3]
58,E_MFCC[4]
59,E_MFCC[5]
60,E_MFCC[6]
61,E_MFCC[7]
62,E_MFCC[8]
63,E_MFCC[9]
64,E_MFCC[10]
65,E_MFCC[11]
66,E_MFCC[12]
67,N_Emax_t
68,N_argmax_t
69,N_centroid_t
70,N_BW_t
71,N_skewnessBW_t
72,N_kurtosisBW_t
73,N_maxturnpoints_t
74,N_minturnpoints_t
75,N_Etot_t
76,N_Erms_t
77,N_TCR_t
78,N_RMM_t
79,N_mean_t
80,N_std_t
81,N_skew_t
82,N_kurt_t
83,N_IncDec_t
84,N_growth_t
85,N_mTCR_t
86,N_Shannon_t
87,N_Renyi_t
88,N_ZCR_t
89,N_max_f
90,N_argmax_f
91,N_centroid_f
92,N_BW_f
93,N_skewnessBW_f
94,N_kurtosisBW_f
95,N_maxturnpoints_f
96,N_minturnpoints_f
97,N_mean_f
98,N_std_f
99,N_skew_f
100,N_kurt_f
101,N_Shannon_f
102,N_Renyi_f
103,N_RMM_f
104,N_TCR_f
105,N_mTCR_f
106,N_Etot_f
107,N_Erms_f
111,N_MFCC[0]
112,N_MFCC[1]
113,N_MFCC[2]
114,N_MFCC[3]
115,N_MFCC[4]
116,N_MFCC[5]
117,N_MFCC[6]
118,N_MFCC[7]
119,N_MFCC[8]
120,N_MFCC[9]
121,N_MFCC[10]
122,N_MFCC[11]
123,N_MFCC[12]
124,Z_Emax_t
125,Z_argmax_t
126,Z_centroid_t
127,Z_BW_t
128,Z_skewnessBW_t
129,Z_kurtosisBW_t
130,Z_maxturnpoints_t
131,Z_minturnpoints_t
132,Z_Etot_t
133,Z_Erms_t
134,Z_TCR_t
135,Z_RMM_t
136,Z_mean_t
137,Z_std_t
138,Z_skew_t
139,Z_kurt_t
140,Z_IncDec_t
141,Z_growth_t
142,Z_mTCR_t
143,Z_Shannon_t
144,Z_Renyi_t
145,Z_ZCR_t
146,Z_max_f
147,Z_argmax_f
148,Z_centroid_f
149,Z_BW_f
150,Z_skewnessBW_f
151,Z_kurtosisBW_f
152,Z_maxturnpoints_f
153,Z_minturnpoints_f
154,Z_mean_f
155,Z_std_f
156,Z_skew_f
157,Z_kurt_f
158,Z_Shannon_f
159,Z_Renyi_f
160,Z_RMM_f
161,Z_TCR_f
162,Z_mTCR_f
163,Z_Etot_f
164,Z_Erms_f
168,Z_MFCC[0]
169,Z_MFCC[1]
170,Z_MFCC[2]
171,Z_MFCC[3]
172,Z_MFCC[4]
173,Z_MFCC[5]
174,Z_MFCC[6]
175,Z_MFCC[7]
176,Z_MFCC[8]
177,Z_MFCC[9]
178,Z_MFCC[10]
179,Z_MFCC[11]
180,Z_MFCC[12]
181,sta_lat
182,sta_lon
183,e_dis
184,e_baz
185,e_mag
186,e_dep
187,stage
188,pb_inst
189,db_name
190,station
191,ENZ_equal
192,eq_lat
193,eq_lon
194,ind
195,PSaft
