year,jday,from_hh,from_mm,from_ss,to_hh,to_mm,to_ss
2022,305,0,41,47,0,46,43
2022,305,12,47,4,12,52,30
2022,305,20,22,34,20,28,53
2022,305,21,41,24,21,46,25
2022,306,16,12,53,16,18,10
2022,307,11,41,34,11,46,51
2022,307,19,29,27,19,34,59
2022,307,20,56,52,21,2,36
2022,308,0,13,54,0,18,46
2022,308,5,47,9,5,52,20
2022,309,10,25,15,10,30,9
2022,310,12,0,0,12,1,0
2022,311,12,0,0,12,1,0
2022,312,3,2,30,3,8,2
2022,313,1,16,14,1,22,44
2022,313,23,10,19,23,15,28
2022,314,12,41,42,12,46,39
2022,315,7,14,4,7,19,26
2022,315,12,35,35,12,42,22
2022,315,18,29,40,18,36,32
2022,316,15,8,45,15,14,2
2022,317,2,24,9,2,29,33
2022,317,10,49,36,10,55,38
2022,318,23,56,51,0,0,59
2022,319,4,35,47,4,42,55
2022,319,15,43,0,15,48,31
2022,319,17,9,33,17,15,50
